ARFI11B,2020-10-22 00:00:00,CI MB,1,0.0,1,1109,0.0,1109.0,1109.0,1109.0,1109.0,1109.0
ARFI11B,2018-07-11 00:00:00,CI MB,1,0.0,153,169677,2e-05,1109.0,1109.0,1109.0,1109.0,1109.0
ARFI11B,2018-05-07 00:00:00,CI MB,2,0.0,285,316065,4e-05,1109.0,1109.0,1109.0,1109.0,1109.0
ARFI11B,2018-03-19 00:00:00,CI MB,1,0.0,225,249525,3e-05,1109.0,1109.0,1109.0,1109.0,1109.0
ARFI11B,2017-06-09 00:00:00,CI MB,1,0.0,19,30265,0.0,1592.89,1592.89,1592.89,1592.89,1592.89
ARFI11B,2017-04-27 00:00:00,CI MB,1,0.0,55,87609,1e-05,1592.89,1592.89,1592.89,1592.89,1592.89
ARFI11B,2017-04-03 00:00:00,CI MB,1,0.0,500,797270,0.00013,1594.54,1594.54,1594.54,1594.54,1594.54
ARFI11B,2017-03-31 00:00:00,CI MB,1,0.0,500,797270,0.00012,1594.54,1594.54,1594.54,1594.54,1594.54
ARFI11B,2017-02-09 00:00:00,CI MB,1,0.0,27,48330,1e-05,1790.0,1790.0,1790.0,1790.0,1790.0
ARFI11B,2017-01-30 00:00:00,CI MB,1,0.0,1,1855,0.0,1855.0,1855.0,1855.0,1855.0,1855.0
ARFI11B,2016-11-23 00:00:00,CI MB,1,0.0,1,1958,0.0,1957.5,1957.5,1957.5,1957.5,1957.5
ARFI11B,2016-11-11 00:00:00,CI MB,1,0.0,1,1651,0.0,1651.46,1651.46,1651.46,1651.46,1651.46
ARFI11B,2016-09-14 00:00:00,CI MB,1,0.0,1,1559,0.0,1559.38,1559.38,1559.38,1559.38,1559.38
ARFI11B,2016-07-19 00:00:00,CI MB,1,0.0,1,1361,0.0,1361.0,1361.0,1361.0,1361.0,1361.0
ARFI11B,2016-07-13 00:00:00,CI MB,1,0.0,1,1210,0.0,1209.9,1209.9,1209.9,1209.9,1209.9
ARFI11B,2016-07-12 00:00:00,CI MB,1,0.0,718,668695,0.0001,931.33,931.33,931.33,931.33,931.33
ARFI11B,2016-07-11 00:00:00,CI MB,1,0.0,22,20489,0.0,931.33,931.33,931.33,931.33,931.33
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
