ANDG4B,2007-03-16 00:00:00,PN MB,1,2e-05,2000,26500,1e-05,13.25,13.25,13.25,13.25,13.25
ANDG4B,2006-05-24 00:00:00,PN MB,1,1e-05,2000,23000,1e-05,11.5,11.5,11.5,11.5,11.5
ANDG4B,2005-12-09 00:00:00,PN ES MB,2,6e-05,2300,26450,2e-05,11.5,11.5,11.5,11.5,11.5
ANDG3B,2019-03-01 00:00:00,ON MB,1,0.0,100,15300,0.0,153.0,153.0,153.0,153.0,153.0
ANDG3B,2019-02-28 00:00:00,ON MB,1,0.0,100,15300,0.0,153.0,153.0,153.0,153.0,153.0
ANDG3B,2007-03-16 00:00:00,ON MB,1,2e-05,2000,26500,1e-05,13.25,13.25,13.25,13.25,13.25
ANDG3B,2006-05-24 00:00:00,ON MB,1,1e-05,2000,23000,1e-05,11.5,11.5,11.5,11.5,11.5
ANDG3B,2005-12-09 00:00:00,ON ES MB,1,3e-05,2000,23000,2e-05,11.5,11.5,11.5,11.5,11.5
ANDG3B,2005-09-26 00:00:00,ON MB,1,2e-05,1,30,0.0,30.0,30.0,30.0,30.0,30.0
ANDG3B,2005-08-17 00:00:00,ON MB,1,2e-05,1,15,0.0,15.0,15.0,15.0,15.0,15.0
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
