WABTEC CORP,WABTEC CORP,,W1AB
WALGREEN CO,WALGREEN,,WALG
WALGREENS BOOTS ALLIANCE INC,WALGREENS,,WGBA
WALMART INC,WAL MART,,WALM
WARNER MUSIC GROUP CORPORATION,WARNER MUSIC,,W1MG
WASTE MANAGEMENT INC,WASTE MANAG,,W1MC
WATERS CORP,WATERS CORP,,WATC
WATSCO INC,WATSCO INC,,W1SO
WAYFAIR INC,WAYFAIR INC,,W2YF
WEC ENERGY GROUP INC,WEC ENERGY G,,W1EC
WEG SA,WEG,NM,WEGE
WEG SA,WEG,N1,ELMJ
WEIBO CORP,WEIBO CORP,,W1BO
WELLS FARGO  COMPANY,WELLS FARGO,,WFCO
WELLTOWER INC,WELLTOWER IN,,W1EL
WEMBLEY SOCIEDADE ANONIMA,WEMBLEY,,WMBY
WEST PHARMACEUTICAL SERVICES INC,WEST PHARMA,,W2ST
WESTERN ALLIANCE BANCORPORATION,WESTERN BCOR,,WABC
WESTERN DIGITAL CORP,WESTERN DIG,,W1DC
WESTPAC BANKING CORP,WESTPAC BANK,,W1BK
WESTROCK CO,WESTROCK CO,,W1RK
WESTWING COMERCIO VAREJISTA SA,WESTWING,NM,WEST
WETZEL SA,WETZEL SA,,MWET
WEX INC,WEX INC,,W2EX
WEYERHAEUSER CO,WEYERHAEUSER,,W1YC
WHG REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIARIO,FII WHG REAL,,WHGR
WHIRLPOOL CORP,WHIRLPOOL CO,,W1HR
WHIRLPOOL SA,WHIRLPOOL,,WHRL
WHITE MARTINS GASES INDUST DO NORTE SA,WHITE MART,,WHMG
WIEST SA,WIEST,,WISA
WILLIS TOWERS WATSON PLC,WILLIS TOWER,,W1LT
WILSON SONS HOLDINGS BRASIL SA,WILSON SONS,NM,PORT
WILSON SONS LTD,WILSON LTD,,WSON
WIXCOM LTD,WIXCOM LTD,,W1IX
WIZ SOLUCOES E CORRETAGEM DE SEGUROS SA,PARCORRETORA,NM,PARC
WIZ SOLUCOES E CORRETAGEM DE SEGUROS SA,WIZ SA,NM,WIZS
WLM  INDUSTRIA E COMERCIO SA,WLM IND COM,,SGAS
WLM PART E COMERCIO DE MAQUINAS E VEICULOS SA,WLM IND COM,,WLMM
WM RB CAPITAL FDO INV IMOB  FII,FII WM RBCAP,MB,WMRB
WOLFSPEED INC,WOLFSPEED IN,,W2OL
WORKDAY INC,WORKDAY INC,,W1DA
WPP PLC,WPP PLC,,W1PP
WR BERKLEY CORPORATION,WR BERKLEY C,,W1RB
WW GRAINGER INC,WW GRAINGER,,G1WW
WYNN RESORTS LTD,WYNN RESORTS,,W1YN
