V1 FIDC NP MULTICARTEIRA OUTROS,FDC V1 AGRO,MB,FAGR
V2 RENDA IMOBILIARIA FDO INV IMOB  FII,FII V2 RENDA,,V2CR
VALE BONITO AGROPECUARIA SA,VALE BONITO,,VLBN
VALE FERTILIZANTES SA,VALEFERT,,FFTL
VALE SA,VALE,NM,VALE
VALERO ENERGY CORPORATION,VALERO ENER,,VLOE
VALETRON SA,VALETRON,MB,VLTR
VALID SOLUCOES E SERV SEG MEIOS PAG IDENT SA,ABNOTE,NM,ABNB
VALID SOLUCOES SA,VALID,NM,VLID
VALLEY NATIONAL BANCORP,VALLEY NTION,,VLYB
VALORA CRA FDO INV NAS CAD PROD AGRO FIAGRO  IMOB,FIAGRO VGIA,,VGIA
VALORA CRI CDI FUNDO DE INVESTIMENTO IMOBILIARIO,FII VALREIII,,VGIR
VALORA CRI INDICE DE PRECO FDO INVEST IMOB FII,FII VALORAIP,,VGIP
VALORA HEDGE FUND FDO INV IMOB,FII VALOR HE,,VGHF
VALUE BRAZIL FUND FICFI  MULTIMERCADO,VALUE BRAZIL,,VLUE
VAMOS LOCACAO DE CAMINHOES MAQUINAS E EQUIP SA,VAMOS,NM,VAMO
VANECK GOLD MINERS ETF,VE GOLD ETF,,GDXB
VANECK MORNINGSTAR WIDE MOAT ETF,VE MOAT ETF,,MOTB
VANECK STEEL ETF,VE STEEL ETF,,SLXB
VANECK SOCIAL SENTIMENT ETF,VE BUZZ ETF,,BUZZ
VARIAN MEDICAL SYSTEMS INC,VARIAN MEDIC,,V1AR
VARIG PARTIC EM SERV COMPLEMENTARES SA,VARIG SERV,,VPSC
VARIG PARTIC EM TRANSPORTES AEREOS SA,VARIG TRANSP,,VPTA
VARONIS SYSTEMS INC,VARONIS SYS,,V2RN
VBC ENERGIA SA,VBC ENERGIA,,NCNE
VBI CONSUMO ESSEN FDO INVEST IMOB,FII VBI CON,,EVBI
VBI REITS FOF  FDO INV IMOB,FII VBI REIT,,RVBI
VDQ HOLDINGS SA,VDQHOLDINGS,,VDQH
VECTIS DATAGRO CR AGR  FDO INV CAD PROD AG  IMOB,FIAGRO VCRA,,VCRA
VECTIS JUROS REAL FDO INV IMOB  FII,FII VECTIS,,VCJR
VECTIS RENDA RESIDENCIAL FDO INV IMOB,FII VECT REN,,VCRR
VECTOR QUELUZ ATIVOS IMOB FDO INV IMOB,FII VQ LAJES,,VLJS
VEEVA SYSTEMS INC,VEEVASYSTEMS,,V2EE
VEGA ENGENHARIA AMBIENTAL SA,VEGA ENG,,VEGA
VENTAS INC,VENTAS INC,,V1TA
VENUS  FUNDO DE INVESTIMENTO IMOBILIARIO,FII VENUS,,SALI
VERAX ROMEU CHAP CHAP FIP,FIP CHAPCHAP,,VRCC
VERDE VALE HOTEL SA,VERDE VALE,,VDVL
VERISIGN INC,VERISIGN INC,,VRSN
VERISK ANALYTICS INC,VERISK ANALY,,V1RS
VERIZON COMMUNICATIONS INC,VERIZON,,VERZ
VERSALHES RECEBIVEIS IMOBILIARIOS  FDO INV IMOB,FII VERS CRI,,VSLH
VERT COMPANHIA SECURITIZADORA,VERTCIASEC,,VERT
VERTEX PHARMACEUTICALS INC,VERTEX PHARM,,VRTX
VF CORP,VF CORP,,VFCO
VIA SA,VIA,NM,VIIA
VIA VAREJO SA,GLOBEX,,GLOB
VIA VAREJO SA,VIAVAREJO,NM,VVAR
VIACAO AEREA SAO PAULO SA VASP,VASP,BOLSA,VASP
VIACOM INC,VIACOM INC,,VIAM
VIBRA ENERGIA SA,VIBRA,NM,VBBR
VIC DESENVOLVIMENTO VINTAGE 2021 FUND INVEST IMOB,FII VIC DES,,VIDS
VIC MALLS  SHOPPINGS  FDO INV IMOB  FII,FII VICMALLS,,VICM
