ABN AMRO REAL FIDC FIN ARREND MERC VEI
ABRIL EDUCACAO SA
ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA SA
AES TIETE ENERGIA SA
AGF BRASIL SEGUROS SA
ALL ORE COSMETICS SA
ALLIS PARTICIPACOES SA
ANDEAVOR
AP PARTICIPACOES SA
ARTERIS SA
BANEX SA  CRED FINANC E INVESTIMENTO
BAPTISTA DA SILVA PART E PROJETOS SA
BCO SUDAMERIS BRASIL SA
BEATRIZ TEXTIL SA
BGNMAX  FIDC
BMG FIDC  SERVIDORES PUBLICOS I
BRADESCO BCN LEASING SA ARR MERCANTIL
BRASIL ECODIESEL IND COM BIOOLVEGSA
BRAUSTAM HOTEIS REIT SA
BRT HOLDING 1 SA
BUNGE BRASIL SA
CCX CARVAO DA COLOMBIA SA
CENTENNIAL ASSET PARTICIPAMAPA SA
CIA BEBIDAS DAS AMERICAS  AMBEV
CIA BRASILIANA DE ENERGIA
CIA CIMENTO PORTLAND ITAU
CIA ENERGETICA MERIDIONAL
CIA PROVIDENCIA INDUSTRIA E COMERCIO
CIA SEGUROS MINAS BRASIL
CONSTRUTORA LIX DA CUNHA SA
COPESUL  CIA PETROQUIMICA DO SUL
CREDIBEL FIDC II  VEICULOS
CSHG TOP FOFII 2 FDO INV IMOB  FII
DOMUS POPULI PARTICIPACOES SA
DUXXI IMOBILIARIA SA
ELEKEIROZ SA ELND
ELUMA SA INDUSTRIA E COMERCIO
ETF BRADESCO IBRX 100 FUNDO DE INDICE
FDO BRADESCO TEMPLETON VRLQ FI ACOES
FDO INV EM QUOTAS DO CHEMICAL FIDC
FDO INV IMOB  FII BTG PACTUAL MALLS
FDO INV IMOB PREMIER REALTY
FDO INV IMOB SHOP GUARARAPES
FERTIBRAS SA
FIACAO E TECELAGEM SA  FIASA
FIBRIA CELULOSE SA
FIDC DACASA FINANCEIRA GRUPO DADALTO
FIDC OMNI VEICULOS  III
FURNAS II  FIDC
GP DESENVOLVIMENTO  FDO INV EM PARTICIP
HEDGE SHOPPING PRACA DA MOCA FDO INV IMOB
HEDGE TOP FOFII 2 FDO INV IMOB
HUB COSMETICOS SA
IND MARANHENSE DE PLASTICOS SAIMAPLAS
INVESTVALE SERVICOS SA
ISEC SECURITIZADORA SA
MCM CIMENTOS SA
MEDIAL SAUDE SA
METODO ENGENHARIA SA
MONTICIANO PARTICIPACOES SA
MULTI RECEBIVEIS II  FIDC
MULTIBRAS SA ELETRODOMESTICOS
OBRASCON HUARTE LAIN BRASIL SA
PARTICIPACOES INDUSTRIAIS DO NE SA
PATRIA INVESTIMENTOS IMOBILIARIOS SA
POLITENO INDUSTRIA E COMERCIO SA
PORTX OPERACOES PORTUARIAS SA
PRUMO LOGISTICA SA
RIPASA SA CELULOSE E PAPEL
SAUIPE SA
SEARA ALIMENTOS SA
SEMP TOSHIBA SA
SHOPTIME SA
SOMOS EDUCACAO SA
STEEL DO BRASIL PARTICIPACOES SA
SUL AMERICA CIA NACIONAL DE SEGUROS
TELE NORTE CELULAR PARTICIPACOES SA
TELPART PARTICIPACOES SA
TERRA SANTA AGRO SA
TESORO CORPORATION
TIM PARTICIPACOES SA
TRESSEM PARTICIPACOES SA
TRIUNFO PARTICIP E INVESTIMENTOS SA
VITALYZEME SAUDE E TECNOLOGIA SA
VOTORANTIM CELULOSE E PAPEL SA
YARA BRASIL FERTILIZANTES SA
