US BANCORP,US BANCORP,,USBC
UBER TECHNOLOGIES INC,UBER TECH IN,,U1BE
UBS GROUP AG,UBS GROUP,,UBSG
UDR INC,UDR INC,,U1DR
UIPATH INC,UIPATH INC,,P2AT
ULBRA RECEBIVEIS SA,ULBRA RECEB,,ULBR
ULTA BEAUTY INC,ULTA BEAUTY,,U1LT
ULTRAGENYX PHARMACEUTICAL INC,ULTRAGENYX,,R2AR
ULTRAPAR PARTICIPACOES SA,ULTRAPAR,NM,UGPA
UNDER ARMOUR INC,UNDER ARMOUR,,U1AI
UNI CIDADE SP TRUST DE RECEBIVEIS SA,UNI CIDADE,,UNCI
UNIBANCO HOLDINGS SA,UNIBANCO HLD,,UBHD
UNIBANCO UNIAO DE BCOS BRASILEIROS SA,UNIBANCO,,UBBR
UNICASA INDUSTRIA DE MOVEIS SA,UNICASA,NM,UCAS
UNIDAS SA,UNIDAS,,UNID
UNIFIQUE TELECOMUNICACOES SA,UNIFIQUE,NM,FIQE
UNILEVER NV,UNILEVER NV,,U1NL
UNILEVER PLC,UNILEVER,,ULEV
UNION NATIONAL FIDC FINANC E MERCANTIS,FDC UNION,MB,UNNA
UNION PACIFIC CORPORATION,UNIONPACIFIC,,UPAC
UNIPAR CARBOCLORO SA,UNIPAR,,UNIP
UNITED AIRLINES HOLDINGS INC,UNITED AIRLI,,U1AL
UNITED PARCEL SERVICE INC,UPS,,UPSS
UNITED RENTALS INC,UNITED RENTA,,U1RI
UNITED STATES STEEL CORPORATION,US STEEL,,USSX
UNITEDHEALTH GROUP INC,UNITEDHEALTH,,UNHH
UNITY SOFTWARE INC,UNITY SOFTWR,,U2ST
UNIVERCIDADE TRUST DE RECEBIVEIS SA,UNIVERCIDADE,,UNIT
UNIVERSAL DISPLAY CORP,OLED DISPLAY,,O2LE
UNIVERSAL HEALTH SERVICES INC,UNIVERSAL HE,,U1HS
UNIVERSO ONLINE SA,UOLSA,,UOLL
UNUM GROUP,UNUM GROUP,,U1NM
UOL INC SA,UOL INC,,UOLI
UPSTART HOLDINGS INC,UPSTART HOLD,,U2PS
UPTICK PARTICIPACOES SA,UPTICK,MB,UPKP
UPWORK INC,UPWORK INC,,U2PW
URBANIZACAO I FDO INV IMOB  FII,FII URBANIZA,,URBN
URCA PRIME RENDA FUNDO DE INVESTIMENTO IMOBILIARIO,FII URCA REN,,URPR
USACIGA FIDC,FDC USACIGA,MB,USCG
USINAS SID DE MINAS GERAIS SAUSIMINAS,USIMINAS,N1,USIM
